# Rime user dictionary
#@/db_name	luna_pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	134834
#@/user_id	662381a1-8689-44f9-85f4-86de7606dd45
a 	啊	c=680 d=1.29485 t=134775
bi jia 	比價	c=1 d=1 t=84447
bi jiao 	比較	c=144 d=1.22496 t=133075
bi jiao duo 	比較多	c=1 d=1 t=108356
bi jiao sao 	比較騷	c=1 d=1 t=65417
bi jing 	畢竟	c=25 d=1 t=130237
bi kai 	避開	c=6 d=1 t=113813
bi kao 	必考	c=1 d=1 t=113019
bi kao ti 	必考題	c=1 d=1 t=9999
bi le 	比了	c=1 d=1 t=21641
bi lei 	壁壘	c=8 d=1 t=125930
bi li 	比例	c=8 d=1 t=124279
bi li 	比利	c=0 d=0.1 t=114883
bi li bi li 	嗶哩嗶哩	c=1 d=1 t=8232
bi mian 	避免	c=9 d=1 t=105777
bi ni 	比你	c=5 d=1 t=94289
bi ni 	逼你	c=1 d=1 t=49833
bi qi 	比起	c=1 d=1 t=18047
bi qi lai 	比起來	c=2 d=1 t=63959
bi ren 	比人	c=2 d=1 t=44614
bi ren 	鄙人	c=1 d=1 t=33995
bi ru 	比如	c=58 d=1.00056 t=132506
bi sai 	比賽	c=18 d=1 t=122149
bi sai 	鼻塞	c=1 d=1 t=5842
bi shi 	鄙視	c=1 d=1 t=127964
bi shi 	閉市	c=1 d=1 t=93965
bi shi ti 	笔试题	c=1 d=1 t=36702
bi shu 	筆數	c=1 d=1 t=128573
bi shu 	避暑	c=1 d=1 t=126066
bi shui 	避稅	c=2 d=1 t=123752
bi si te 	比斯特	c=5 d=1.08418 t=87805
bi ta 	比他	c=1 d=1 t=39590
bi te bi 	比特币	c=2 d=1 t=109046
bi tuan 	逼團	c=1 d=1 t=33779
bi tui 	逼退	c=1 d=1 t=82011
bi wo 	比我	c=13 d=1 t=126455
bi wo 	逼我	c=1 d=1 t=21895
bi wo di 	比我低	c=1 d=1 t=41720
bi wo men 	比我们	c=1 d=1 t=126536
bi xian 	避險	c=4 d=1.00937 t=110023
bi xin 	筆心	c=1 d=1 t=115827
bi xu 	必須	c=20 d=1.45384 t=132192
bi xu yao 	必须要	c=1 d=1 t=5811
bi yan 	閉眼	c=1 d=1 t=86128
bi yao 	必要	c=2 d=1 t=103353
bi ye 	畢業	c=5 d=1 t=134606
bi yi qian 	比以前	c=1 d=1 t=36427
bi yi zhi yan 	閉一隻眼	c=1 d=1 t=133593
bi yuan 	閉源	c=1 d=1 t=76747
bi yun tao 	避孕套	c=2 d=1 t=41011
bi zhe 	逼着	c=0 d=0.1 t=43786
bi zhe 	閉着	c=1 d=1 t=50550
bi zhe yan jing 	閉着眼睛	c=1 d=1 t=34014
bi zhong 	比重	c=1 d=1 t=108186
bi zi 	鼻子	c=2 d=1 t=15695
bi zui 	閉嘴	c=2 d=1 t=81150
bian 	編	c=1 d=1 t=39871
bian 	變	c=7 d=1 t=63027
bian 	邊	c=29 d=1 t=132909
bian 	鞭	c=1 d=1 t=134010
bian bie 	辨別	c=1 d=1 t=39737
bian bu 	遍佈	c=0 d=0.1 t=91650
bian bu quan qiu 	遍佈全球	c=1 d=1 t=91651
bian cha 	變差	c=2 d=1 t=62491
bian cheng 	編程	c=6 d=1 t=49970
bian cheng 	變成	c=59 d=1 t=132413
bian chi 	边池	c=1 d=1 t=41710
bian chi bian 	边吃边	c=0 d=0.1 t=78765
bian chi bian da 	边吃边打	c=1 d=1 t=78766
bian chi bian keng 	边吃边坑	c=1 d=1 t=61843
bian chu lai 	編出來	c=1 d=1 t=81039
bian da 	變大	c=3 d=1 t=115903
bian da 	邊打	c=1 d=1 t=113086
bian de 	變得	c=7 d=1 t=125840
bian di 	變低	c=1 d=1 t=86647
bian dong 	變動	c=3 d=1 t=87251
bian dui 	編隊	c=1 d=1 t=100575
bian duo 	变多	c=2 d=1 t=47031
bian fa 	變法	c=1 d=1 t=22202
bian gao 	变高	c=3 d=1 t=106828
bian geng 	變更	c=10 d=1 t=132365
bian hao 	編號	c=15 d=1 t=131866
bian hao 	變好	c=4 d=1 t=127348
bian hua 	變化	c=31 d=1.37719 t=119970
bian huan 	變換	c=21 d=3.03749 t=110450
bian ji 	編輯	c=4 d=1.00029 t=41813
bian ji 	邊記	c=1 d=1 t=4573
bian jie 	邊界	c=2 d=0.1 t=128970
bian kuang 	邊框	c=1 d=1 t=96287
bian le 	變了	c=8 d=1.99005 t=113872
bian li 	遍歷	c=22 d=1 t=130443
bian liang 	變量	c=35 d=1 t=93349
bian lu 	邊路	c=4 d=1 t=110820
bian lun 	辯論	c=3 d=2.91202 t=63117
bian ma 	編碼	c=18 d=1 t=111452
bian mu 	邊牧	c=1 d=1 t=81253
bian qiang 	变强	c=1 d=1 t=80023
bian que 	扁鵲	c=1 d=1 t=114382
bian que yi yang 	扁鵲一樣	c=1 d=1 t=58926
bian shang 	邊上	c=7 d=1 t=81427
bian shao 	变少	c=1 d=1 t=116209
bian she 	邊射	c=1 d=1 t=43223
bian shen 	變身	c=5 d=1 t=102958
bian shi 	便是	c=4 d=1 t=82330
bian shi 	鞭屍	c=1 d=1 t=21886
bian shu 	變數	c=1 d=1 t=99813
bian tai 	变态	c=6 d=1 t=121253
bian ti 	變體	c=3 d=1 t=44048
bian wei 	變味	c=2 d=1.81058 t=134025
bian wei 	變爲	c=3 d=1 t=119738
bian xian 	變現	c=3 d=1 t=98484
bian xiang 	變相	c=1 d=1 t=85880
bian xiao 	變小	c=3 d=1 t=114131
bian xie 	編寫	c=1 d=1 t=4572
bian xing 	變形	c=4 d=1 t=85864
bian xing 	變性	c=1 d=1 t=36440
bian yi 	便宜	c=0 d=0.1 t=24035
bian yi 	編譯	c=4 d=1 t=127030
bian yi 	變異	c=4 d=1 t=104756
bian yi fang 	便宜坊	c=5 d=1 t=104133
bian yi qi 	編譯器	c=2 d=1.87372 t=127136
bian yu 	便於	c=2 d=1 t=103761
bian yuan 	邊緣	c=8 d=1 t=126412
bian zhi 	編制	c=1 d=1 t=111882
bian zhong 	變種	c=3 d=1 t=103305
bian zi 	鞭子	c=1 d=1 t=12960
biao 	婊	c=0 d=0.1 t=4899
biao 	標	c=3 d=1 t=75343
biao 	表	c=14 d=0.1 t=106054
biao da 	表達	c=15 d=2.57964 t=130190
biao da shi 	表達式	c=4 d=1 t=67930
biao di 	表弟	c=3 d=1 t=106423
biao dian fu hao 	標點符號	c=1 d=1 t=30215
biao ge 	表哥	c=3 d=1.00011 t=93529
biao ge 	表格	c=2 d=1 t=31052
biao ji 	標記	c=3 d=1.00015 t=107462
biao jia 	標價	c=0 d=0.1 t=113189
biao jie gou 	表结构	c=2 d=1.09778 t=58315
biao liang 	標量	c=1 d=1 t=7216
biao mei 	表妹	c=2 d=1 t=73133
biao mian 	表面	c=1 d=1 t=32638
biao pei 	標配	c=1 d=1 t=101227
biao qian 	標籤	c=11 d=1.09851 t=111463
biao qian yun 	標籤雲	c=1 d=1 t=20899
biao qing 	表情	c=5 d=1 t=117004
biao qing bao 	表情包	c=2 d=1 t=70155
biao she ji 	表设计	c=1 d=1 t=59053
biao shi 	表師	c=2 d=1.96079 t=81942
biao shi 	表示	c=29 d=2.03377 t=104494
biao shi wei 	表示为	c=1 d=1 t=14670
biao tai 	表態	c=2 d=1 t=129958
biao wang 	錶王	c=1 d=1 t=112727
biao xi 	飆戲	c=1 d=1 t=81765
biao xian 	表現	c=17 d=0.113234 t=115954
biao xian qi 	表現期	c=2 d=1.72615 t=27179
biao xian shang 	表现上	c=1 d=1 t=3495
biao xian yu 	表現欲	c=1 d=1 t=115955
biao yan 	表演	c=4 d=1 t=128238
biao yan sai 	表演賽	c=1 d=1 t=82707
biao yang 	表揚	c=1 d=1 t=114600
biao zhu 	標註	c=5 d=1.15259 t=125091
biao zhun 	標準	c=16 d=1 t=105995
biao zhun cha 	標準差	c=1 d=1 t=50801
biao zhun hua 	標準化	c=1 d=1 t=110462
biao zhun liu liang 	标准流量	c=2 d=1.96079 t=93185
bie 	別	c=92 d=2.55733 t=134058
bie 	憋	c=1 d=1 t=107974
bie bei 	別被	c=1 d=1 t=17043
bie bie bie 	别别别	c=1 d=1 t=134547
bie ce 	別測	c=1 d=1 t=72345
bie che le 	別扯了	c=1 d=1 t=113593
bie da 	別打	c=2 d=1 t=40028
bie da le 	别打了	c=1 d=1 t=43421
bie de 	別的	c=6 d=1 t=79037
bie fan 	別翻	c=1 d=1 t=8797
bie gen 	别跟	c=1 d=1 t=45508
bie gen wo 	别跟我	c=1 d=1 t=72215
bie guan 	別管	c=2 d=1 t=31704
bie han 	別喊	c=1 d=0.1 t=70380
bie han wo 	別喊我	c=1 d=1 t=70381
bie hei 	别黑	c=1 d=1 t=25560
bie hui 	別回	c=1 d=1 t=26862
bie ji 	別急	c=1 d=1 t=127968
bie jia 	別加	c=0 d=0.1 t=30259
bie jia kuan 	別加寬	c=1 d=1 t=30260
bie jiao 	蹩腳	c=2 d=1 t=131728
bie kai sheng mian 	別開生面	c=1 d=1 t=89944
bie la 	別拉	c=1 d=1 t=69444
bie lai 	別來	c=2 d=1 t=87417
bie li 	別理	c=1 d=1 t=78313
bie liao 	別聊	c=1 d=1 t=90252
bie mai 	別買	c=1 d=1 t=107593
bie niu 	彆扭	c=1 d=1 t=78881
bie qu 	別去	c=4 d=1 t=85213
bie qu 	憋屈	c=1 d=1 t=33844
bie rang 	別讓	c=1 d=1 t=133608
bie ren 	別人	c=35 d=1 t=131879
bie ren jia 	别人家	c=2 d=1 t=102597
bie sao 	別騷	c=1 d=1 t=62820
bie shu 	別墅	c=3 d=1.00304 t=84095
bie shuo 	別說	c=22 d=1.00001 t=133965
bie shuo hua 	别说话	c=1 d=1 t=29569
bie wan 	别玩	c=3 d=1 t=131838
bie wen 	別問	c=2 d=1 t=90597
bie wen le 	别问了	c=1 d=1 t=79553
bie xiang 	別想	c=1 d=1 t=81209
bie xiang pao 	別想跑	c=1 d=1 t=36879
bie yan 	別演	c=1 d=1 t=21969
bie ye 	別野	c=1 d=1 t=82933
bie zai 	別再	c=2 d=1.956 t=26528
bie zhao ji 	別着急	c=1 d=1 t=55147
bie zhe 	憋着	c=1 d=1 t=16800
bie zhe me shuo 	别这么说	c=1 d=1 t=87133
bie zheng 	别整	c=1 d=1 t=30387
bie zhuang 	別莊	c=1 d=1 t=85793
bin ge 	宾哥	c=1 d=1 t=117812
bin guan 	賓館	c=3 d=1 t=112083
bing 	並	c=22 d=1 t=130439
bing 	兵	c=2 d=1.0522 t=87033
bing 	冰	c=4 d=0.24808 t=77928
bing 	柄	c=1 d=1 t=131773
bing 	病	c=4 d=1.98511 t=70637
bing 	餅	c=3 d=1 t=130904
bing bu 	並不	c=0 d=0.1 t=16961
bing bu neng 	並不能	c=1 d=1 t=42189
bing bu shi 	並不是	c=3 d=1 t=114709
bing bu xiang 	并不想	c=0 d=0.1 t=39895
bing bu xiang kan 	并不想看	c=1 d=1 t=39896
bing bu xing 	並不行	c=1 d=1 t=59720
bing bu xu yao 	並不需要	c=2 d=1 t=104908
bing dai 	冰袋	c=1 d=1 t=99532
bing diao 	冰雕	c=1 d=1 t=129157
bing du 	病毒	c=3 d=2.87017 t=115042
bing fei 	並非	c=3 d=1 t=42512
bing huo 	冰火	c=0 d=0.1 t=94311
bing huo liang chong tian 	冰火兩重天	c=1 d=1 t=94312
bing jia 	兵甲	c=1 d=1 t=12943
bing jia 	冰甲	c=1 d=1 t=12946
bing jia 	病假	c=2 d=1 t=129727
bing jing 	冰晶	c=1 d=1 t=121764
bing jun 	病菌	c=1 d=1 t=115040
bing lie 	並列	c=1 d=1 t=51214
bing mao 	冰矛	c=1 d=1 t=63201
bing mei shi 	冰美式	c=1 d=1 t=77929
bing mei you 	並沒有	c=3 d=1 t=45614
bing qi 	兵器	c=1 d=1 t=110865
bing qi lin 	冰淇淋	c=4 d=1 t=80572
bing quan 	冰拳	c=5 d=1 t=129385
bing xian 	兵線	c=4 d=1 t=86205
bing xiang 	冰箱	c=3 d=1 t=127217
bing xin 	冰心	c=5 d=1 t=134216
bing xing 	並行	c=7 d=1 t=130403
bing xing hua 	并行化	c=1 d=1 t=12151
bing yu huo zhi ge 	冰與火之歌	c=1 d=1 t=13580
bing zai 	並在	c=1 d=1 t=116459
bing zhang 	冰杖	c=1 d=1 t=91427
bo 	剝	c=1 d=0.1 t=97491
bo 	博	c=1 d=1 t=123031
bo 	啵	c=1 d=1 t=29642
bo 	播	c=2 d=1 t=81261
bo 	波	c=5 d=1 t=76668
bo ba 	波霸	c=0 d=0.1 t=81885
bo bao 	播報	c=1 d=1 t=56982
bo bo 	啵啵	c=3 d=2.17571 t=25478
bo bo 	波波	c=3 d=1 t=101119
bo bo ji 	钵钵鸡	c=2 d=1.97045 t=111621
bo da 	撥打	c=26 d=5.53733 t=38104
bo da liang 	拨打量	c=5 d=1 t=13956
bo dong 	波動	c=5 d=1.00003 t=101384
bo duo li ge 	波多黎各	c=1 d=1 t=55087
bo er 	玻爾	c=2 d=1.84789 t=108506
bo fang 	播放	c=19 d=1 t=100668
bo fang qi 	播放器	c=7 d=1 t=19539
bo hui qu 	撥回去	c=1 d=1 t=126236
bo jin 	鉑金	c=18 d=1 t=134441
bo jin ju 	铂金局	c=1 d=1 t=134456
bo ke 	博客	c=17 d=1 t=99945
bo le 	波了	c=1 d=1 t=7516
bo li 	玻璃	c=2 d=1 t=73210
bo lin 	柏林	c=0 d=0.1 t=9951
bo luo mi 	波羅蜜	c=1 d=1 t=77965
bo she 	博社	c=1 d=1 t=41120
bo shi 	博士	c=6 d=1.37344 t=134741
bo shu 	波叔	c=1 d=1 t=13097
bo tui 	波推	c=2 d=1 t=68771
bo wu guan 	博物館	c=2 d=1.87372 t=52590
bo yi 	博奕	c=1 d=1 t=39706
bo yi 	博弈	c=3 d=2.93131 t=39716
bo yin 	波音	c=1 d=1 t=45673
bo you zi 	剝柚子	c=1 d=1 t=97492
bo zhu 	博主	c=3 d=1 t=40643
bo zi 	脖子	c=1 d=1 t=62354
bu 	不	c=109 d=1.00038 t=134827
bu 	布	c=3 d=2.8676 t=48073
bu 	步	c=7 d=1 t=111433
bu 	補	c=29 d=1.01288 t=124145
bu 	部	c=6 d=0.1 t=113235
bu ai 	不愛	c=2 d=1 t=88147
bu ai ting 	不爱听	c=1 d=1 t=122299
bu an 	不安	c=1 d=1 t=83805
bu bang bie ren 	不帮别人	c=1 d=1 t=101371
bu bao 	不保	c=2 d=1 t=94694
bu bao man 	不饱满	c=1 d=1 t=4615
bu bei bu kang 	不卑不亢	c=1 d=1 t=86437
bu bi 	不必	c=1 d=1 t=5900
bu bi bi 	不筆筆	c=1 d=1 t=6156
bu bian 	不變	c=0 d=0.1 t=4783
bu bu 	不補	c=1 d=1 t=118736
bu bu bu 	不不不	c=1 d=1 t=120538
bu cang 	不藏	c=3 d=1 t=114503
bu cao 	不操	c=1 d=1 t=28667
bu cha 	不差	c=1 d=1 t=82701
bu cha dian 	不差點	c=1 d=1 t=66805
bu cha ru 	不插入	c=1 d=1 t=94848
bu chan sheng 	不產生	c=1 d=1 t=127313
bu chang 	補償	c=4 d=1 t=106830
bu cheng 	不成	c=1 d=1 t=113295
bu cheng gong 	不成功	c=3 d=1 t=90912
bu chi 	不吃	c=5 d=1.00001 t=100587
bu chi fan 	不吃饭	c=2 d=1 t=97613
bu chi le 	不吃了	c=1 d=1 t=18822
bu chong 	補充	c=15 d=1 t=132230
bu chong die 	不重疊	c=1 d=1 t=44107
bu chong fu 	不重複	c=1 d=1 t=13206
bu chou yang 	不抽样	c=1 d=1 t=126524
bu chu 	不出	c=6 d=1 t=128217
bu chu fan 	不觸犯	c=1 d=1 t=125302
bu chu lai 	不出來	c=1 d=0.1 t=121645
bu chu li 	不處理	c=3 d=1 t=80688
bu chu qu 	不出去	c=0 d=0.1 t=4118
bu chuan 	補傳	c=2 d=1.93239 t=76994
bu chuan yi fu 	不穿衣服	c=1 d=1 t=51096
bu chui 	不吹	c=1 d=1 t=112725
bu cun zai 	不存在	c=7 d=1.00004 t=104505
bu cuo 	不錯	c=21 d=1 t=132228
bu da 	不大	c=38 d=1 t=130361
bu da 	不打	c=7 d=1 t=119609
bu da 	不搭	c=0 d=0.1 t=75552
bu da 	不達	c=1 d=1 t=87005
bu da bian 	不搭邊	c=1 d=1 t=75553
bu da le 	不打了	c=3 d=1 t=120964
bu da rao 	不打擾	c=1 d=1 t=128662
bu da suan 	不打算	c=1 d=1 t=47020
bu dai biao 	不代表	c=1 d=1 t=133538
bu dai ni 	不带你	c=1 d=1 t=117813
bu dai wo 	不帶我	c=1 d=1 t=25414
bu dao 	不到	c=11 d=1 t=125425
bu dao 	补刀	c=3 d=1 t=87754
bu dao ren 	不到人	c=2 d=1.0001 t=81518
bu dao shu 	补刀數	c=1 d=1 t=56835
bu de bu 	不得不	c=1 d=1 t=21717
bu deng 	不等	c=0 d=0.1 t=8982
bu deng chang 	不等長	c=5 d=1.9802 t=64163
bu dian 	不點	c=0 d=0.1 t=105337
bu dian wo 	不點我	c=1 d=1 t=105338
bu diao 	不掉	c=0 d=0.1 t=115026
bu diao yong 	不调用	c=1 d=1 t=98810
bu ding 	不定	c=1 d=1 t=111940
bu ding chang 	不定長	c=3 d=1.77492 t=9121
bu ding hun 	不訂婚	c=1 d=1 t=49620
bu diu 	不丢	c=0 d=0.1 t=94562
bu diu shi 	不丢失	c=1 d=1 t=94563
bu dong 	不動	c=4 d=1 t=108801
bu dong 	不懂	c=3 d=1 t=86251
bu dou shi 	不都是	c=3 d=1 t=121219
bu du che 	不堵車	c=1 d=1 t=52390
bu duan 	不斷	c=2 d=0.10243 t=40293
bu duan bo 	不斷播	c=1 d=1 t=40294
bu dui 	不對	c=15 d=1 t=124601
bu dui cheng 	不對稱	c=4 d=1 t=125678
bu dui deng 	不对等	c=1 d=1 t=56014
bu dui wai 	不對外	c=1 d=1 t=89433
bu dui yan 	不對眼	c=1 d=1 t=60258
bu duo 	不多	c=12 d=1.00357 t=130534
bu fa 	不發	c=4 d=1 t=109237
bu fa 	補發	c=2 d=1 t=62609
bu fang 	不放	c=0 d=0.1 t=91085
bu fang bian 	不方便	c=10 d=2.75628 t=131086
bu fang da 	不放大	c=1 d=1 t=41736
bu fang quan 	不放權	c=1 d=1 t=91086
bu fen 	不分	c=2 d=1.56553 t=50155
bu fen 	部份	c=51 d=1.0087 t=131055
bu fen lie 	不分裂	c=1 d=1 t=110159
bu fu 	不服	c=1 d=1 t=84796
bu fu he 	不符合	c=6 d=1.09779 t=83697
bu fu ma 	不服嗎	c=1 d=1 t=81015
bu fu yao 	不服藥	c=1 d=1 t=108497
bu fu zhong wang 	不負衆望	c=1 d=1 t=99637
bu gai 	不改	c=1 d=1 t=120289
bu gai 	不該	c=9 d=1 t=132452
bu gai bian 	不改变	c=1 d=1 t=112582
bu gai kan 	不該看	c=2 d=1 t=53077
bu gan 	不幹	c=1 d=0.1 t=115514
bu gan 	不敢	c=19 d=1 t=130932
bu gan hui qu 	不幹回去	c=1 d=1 t=133030
bu gan huo 	不干活	c=1 d=1 t=17945
bu gan jie 	不敢接	c=1 d=1 t=91511
bu gan le 	不幹了	c=1 d=1 t=115515
bu gan liao 	不敢聊	c=1 d=1 t=24940
bu gan shuo 	不敢說	c=2 d=1 t=55631
bu gan wen 	不敢問	c=2 d=1 t=55628
bu gan xin 	不甘心	c=1 d=1 t=101054
bu gan xing qu 	不感興趣	c=1 d=1 t=88454
bu gan yong 	不敢用	c=1 d=1 t=105641
bu gao 	不搞	c=13 d=1 t=118153
bu gao 	不高	c=5 d=1.00315 t=129237
bu gao xing 	不高興	c=3 d=1 t=101215
bu ge 	不鴿	c=1 d=1 t=50521
bu ge 	补个	c=1 d=1 t=80679
bu gei ni 	不给你	c=2 d=0.1 t=131531
bu gei qian 	不給錢	c=1 d=1 t=33932
bu gei wo 	不给我	c=5 d=1 t=96660
bu gen 	不跟	c=5 d=1 t=130298
bu gen ni 	不跟你	c=4 d=1 t=89206
bu gen ni ma 	不跟你媽	c=1 d=1 t=66946
bu gen wo 	不跟我	c=2 d=1 t=49317
bu gong 	不公	c=1 d=1 t=96552
bu gong ping 	不公平	c=1 d=1 t=133525
bu gou 	不夠	c=31 d=1.00014 t=129668
bu gou hao 	不夠好	c=1 d=1 t=114483
bu gou kan 	不夠看	c=1 d=1 t=78877
bu gou yong 	不够用	c=1 d=1 t=60731
bu gu 	不顧	c=1 d=1 t=103163
bu guai ni 	不怪你	c=1 d=1 t=29613
bu guan 	不管	c=13 d=1 t=125193
bu guan 	不關	c=0 d=0.1 t=115596
bu guan fen 	不關份	c=1 d=1 t=115597
bu guan yong 	不管用	c=2 d=1 t=127535
bu guan yu 	不關於	c=1 d=1 t=6397
bu gui 	不貴	c=1 d=1 t=22443
bu guo 	不過	c=71 d=1 t=131597
bu guo qu 	不過去	c=1 d=1 t=84748
bu hai 	不还	c=0 d=0.1 t=82866
bu hai qu 	不还去	c=1 d=1 t=82867
bu hai shi 	不还是	c=1 d=1 t=64088
bu hai you 	不还有	c=1 d=1 t=89516
bu han wo 	不喊我	c=1 d=1 t=42391
bu hao 	不好	c=38 d=1 t=127958
bu hao bu shang qu 	不好不上去	c=1 d=1 t=74135
bu hao chi 	不好吃	c=3 d=1 t=102786
bu hao da 	不好打	c=1 d=1 t=63407
bu hao jiao dai 	不好交待	c=1 d=1 t=86452
bu hao shi 	不好使	c=1 d=1 t=92025
bu hao ting 	不好聽	c=1 d=1 t=69603
bu hao yi si 	不好意思	c=8 d=1 t=112620
bu hao zuo 	不好做	c=1 d=1 t=46207
bu he 	不合	c=2 d=1 t=91294
bu he 	不喝	c=1 d=1 t=53986
bu he gui 	不合规	c=1 d=1 t=54893
bu he jiu 	不喝酒	c=2 d=1 t=93525
bu he shi 	不合適	c=4 d=1 t=130100
bu he zuo 	不合作	c=1 d=1 t=104031
bu huan 	不換	c=0 d=0.1 t=63775
bu huan 	不還	c=1 d=1 t=45440
bu huan die 	不換碟	c=1 d=1 t=63776
bu huan er san 	不歡而散	c=1 d=1 t=72016
bu huan hang 	不換行	c=1 d=1 t=54519
bu huang 	不慌	c=5 d=1 t=117843
bu hui 	不會	c=89 d=1.09444 t=133646
bu hui bian 	不會變	c=1 d=1 t=130349
bu hui kua 	不會垮	c=1 d=1 t=23636
bu hui lai 	不回来	c=1 d=1 t=59776
bu hui si 	不会死	c=1 d=1 t=43204
bu hui wan 	不会玩	c=5 d=1.00674 t=106078
bu hui yong 	不會用	c=1 d=1 t=77592
bu hui you 	不會有	c=1 d=1 t=131686
bu huo 	捕獲	c=2 d=1 t=86250
bu huo yue 	不活跃	c=1 d=1 t=59373
bu ji 	不急	c=1 d=1 t=114971
bu ji 	不計	c=2 d=1 t=59766
bu ji dao 	布吉岛	c=2 d=1 t=22126
bu ji de 	不記得	c=1 d=1 t=45623
bu ji lie 	不激烈	c=1 d=1 t=48709
bu ji xu 	不继续	c=1 d=1 t=93097
bu jia 	不加	c=1 d=1 t=109254
bu jia ban 	不加班	c=2 d=1 t=134729
bu jia ru 	不加入	c=1 d=1 t=4370
bu jian 	不見	c=4 d=1 t=128596
bu jian 	部件	c=2 d=1 t=82119
bu jian dan 	不簡單	c=1 d=1 t=115674
bu jian kang 	不健康	c=1 d=1 t=133091
bu jian yi 	不建议	c=3 d=1 t=26052
bu jiang 	不講	c=1 d=1 t=31638
bu jiang 	不降	c=1 d=1 t=119291
bu jiang dao li 	不講道理	c=1 d=1 t=120988
bu jiao lv 	不焦慮	c=1 d=1 t=126429
bu jiao shui 	不繳稅	c=1 d=1 t=32470
bu jie 	不接	c=6 d=1.00152 t=129943
bu jie jin 	不接近	c=1 d=1 t=42279
bu jie shou 	不接受	c=1 d=1 t=73755
bu jie wo 	不接我	c=1 d=1 t=75066
bu jin 	不禁	c=2 d=1 t=116546
bu jin 	不進	c=4 d=1.47001 t=86450
bu jin qu 	不進去	c=0 d=0.1 t=106811
bu jin ren 	不禁人	c=2 d=1 t=90249
bu jin zhang 	不紧张	c=1 d=1 t=126555
bu jing da 	不經打	c=1 d=1 t=109001
bu jiu 	不久	c=1 d=0.1 t=118253
bu jiu 	補救	c=1 d=1 t=92543
bu jiu gen 	不就跟	c=1 d=1 t=115695
bu jiu jie 	不纠结	c=1 d=1 t=11594
bu jiu shi 	不就是	c=2 d=1 t=118699
bu ju 	佈局	c=5 d=1 t=48067
bu ju jue 	不拒绝	c=1 d=1 t=10664
bu ju you 	不具有	c=1 d=1 t=49713
bu jue 	不決	c=0 d=0.1 t=104935
bu kai 	不開	c=2 d=1 t=58908
bu kan 	不看	c=9 d=1 t=121978
bu kao lv 	不考虑	c=5 d=1 t=127268
bu kao pu 	不靠谱	c=7 d=1 t=133691
bu ke 	不可	c=6 d=0.1 t=122090
bu ke fen 	不可分	c=1 d=1.01393 t=29365
bu ke fu zhi 	不可複製	c=1 d=1 t=122091
bu ke gu liang 	不可估量	c=1 d=1 t=108469
bu ke jie 	不可解	c=1 d=0.1 t=49129
bu ke jie shi 	不可解釋	c=1 d=1 t=49130
bu ke kong 	不可控	c=3 d=1 t=74657
bu ke miao shu 	不可描述	c=1 d=1 t=102208
bu ke neng 	不可能	c=14 d=1 t=133316
bu ke ni 	不可逆	c=1 d=1 t=4285
bu ke qi 	不客氣	c=5 d=1 t=112966
bu ke si yi 	不可思議	c=1 d=1 t=130457
bu ke wei 	不可微	c=1 d=1 t=4601
bu ke xin 	不可信	c=1 d=1 t=131613
bu ke yi 	不可以	c=4 d=1 t=125271
bu ke yong 	不可用	c=2 d=1 t=76713
bu ke zai sheng 	不可再生	c=1 d=1 t=110350
bu kong 	不空	c=0 d=0.1 t=56908
bu kong lan 	不空藍	c=1 d=1 t=56909
bu kou 	不摳	c=1 d=1 t=53941
bu kua 	不誇	c=1 d=1 t=92741
bu kui 	不虧	c=12 d=1 t=133700
bu kui shi 	不愧是	c=6 d=1.00005 t=114955
bu la 	布拉	c=0 d=0.1 t=22190
bu la fo si 	布拉佛斯	c=1 d=1 t=22191
bu la ji 	不啦嘰	c=1 d=1 t=92681
bu lai 	不來	c=5 d=0.101122 t=87405
bu lai bu shi 	不來不是	c=1 d=1 t=79741
bu lai le 	不来了	c=1 d=1 t=693
bu lang fei 	不浪費	c=1 d=1 t=113297
bu le 	不了	c=2 d=0.1 t=30321
bu le 	补了	c=2 d=1 t=131598
bu le xuan zhong 	不了選中	c=1 d=1 t=30322
bu le yu 	不樂於	c=1 d=1 t=37724
bu li 	不離	c=1 d=1 t=70917
bu li jie 	不理解	c=2 d=1.00031 t=71588
bu li ren 	不理人	c=1 d=1 t=80596
bu li wo 	不理我	c=0 d=0.1 t=61273
bu li xiang 	不理想	c=2 d=1 t=101351
bu liang 	不良	c=1 d=1 t=121596
bu liao 	不了	c=12 d=0.1 t=115993
bu liao 	不聊	c=1 d=1 t=109205
bu liao jie 	不瞭解	c=6 d=1 t=100499
bu lou 	補漏	c=0 d=0.1 t=12176
bu lun 	不論	c=1 d=1 t=95666
bu luo 	部落	c=2 d=1 t=100347
bu ma 	不碼	c=1 d=1 t=108914
bu ma fan 	不麻烦	c=2 d=1 t=23437
bu mai 	不買	c=11 d=1 t=111401
bu mai fang 	不買房	c=1 d=1 t=82922
bu mai le 	不买了	c=1 d=1 t=18815
bu man 	不滿	c=1 d=1 t=133938
bu man yi 	不滿意	c=1 d=1 t=70744
bu man zu 	不滿足	c=1 d=1 t=75557
bu men 	部門	c=26 d=1.1097 t=133594
bu mian 	不麪	c=1 d=1 t=132435
bu miao 	卜淼	c=1 d=1 t=41068
bu min gan 	不敏感	c=2 d=1 t=129990
bu ming bai 	不明白	c=1 d=1 t=65760
bu ming que 	不明確	c=1 d=1 t=11004
